Customer_ID,Already_Buys,Recommendation_1,Score_1,Recommendation_2,Score_2,Recommendation_3,Score_3
CUST_00024,Books,Fashion,0.2236,Toys,0.2152,Food,0.2144
CUST_00025,Home & Garden,Toys,0.2363,Electronics,0.2243,Sports,0.2131
CUST_00026,"Beauty, Fashion",Sports,0.2265,Food,0.2203,Books,0.2156
CUST_00027,"Books, Sports, Toys",Food,0.2285,Fashion,0.2244,Electronics,0.2237
CUST_00028,"Books, Fashion",Sports,0.22,Toys,0.2152,Food,0.2151
CUST_00029,"Beauty, Books, Electronics, Food, Sports",Toys,0.2216,Fashion,0.2158,Home & Garden,0.2098
CUST_00030,"Beauty, Electronics, Fashion, Food, Home & Garden, Toys",Sports,0.2262,Books,0.2125,,0.0
CUST_00031,"Books, Food",Sports,0.2259,Toys,0.2199,Fashion,0.2197
CUST_00032,Books,Fashion,0.2236,Toys,0.2152,Food,0.2144
CUST_00033,"Home & Garden, Toys",Electronics,0.2299,Sports,0.2176,Food,0.2131
CUST_00034,"Electronics, Fashion",Sports,0.2287,Toys,0.2254,Books,0.2182
CUST_00035,"Books, Food",Sports,0.2259,Toys,0.2199,Fashion,0.2197
CUST_00036,"Books, Food, Toys",Sports,0.2246,Fashion,0.2182,Electronics,0.2163
CUST_00037,Home & Garden,Toys,0.2363,Electronics,0.2243,Sports,0.2131
CUST_00038,"Fashion, Food",Sports,0.2403,Toys,0.2199,Books,0.219
CUST_00039,"Beauty, Books, Electronics",Toys,0.2205,Sports,0.2157,Food,0.2133
CUST_00040,"Fashion, Toys",Sports,0.2282,Home & Garden,0.2236,Food,0.2202
CUST_00041,"Beauty, Home & Garden",Toys,0.2235,Electronics,0.2201,Sports,0.2158
CUST_00042,"Food, Home & Garden",Toys,0.2305,Sports,0.2297,Beauty,0.2168
CUST_00043,"Fashion, Home & Garden",Toys,0.2257,Sports,0.2238,Electronics,0.2127
CUST_00044,"Beauty, Food",Sports,0.2324,Toys,0.2176,Books,0.211
CUST_00045,"Books, Electronics, Sports",Toys,0.2242,Food,0.2204,Fashion,0.2197
CUST_00046,"Electronics, Toys",Home & Garden,0.2303,Sports,0.2225,Books,0.214
CUST_00047,"Electronics, Home & Garden",Toys,0.2359,Sports,0.218,Beauty,0.2123
CUST_00048,"Beauty, Food, Home & Garden",Sports,0.226,Toys,0.2239,Electronics,0.2136
CUST_00049,"Beauty, Electronics, Food",Sports,0.2292,Toys,0.2236,Books,0.2116
CUST_00050,Beauty,Food,0.2249,Sports,0.2185,Electronics,0.2159
CUST_00051,"Books, Sports",Food,0.2304,Fashion,0.229,Toys,0.2186
CUST_00052,"Books, Fashion, Home & Garden, Toys",Sports,0.2188,Electronics,0.2184,Food,0.2141
CUST_00053,Books,Fashion,0.2236,Toys,0.2152,Food,0.2144
CUST_00054,Home & Garden,Toys,0.2363,Electronics,0.2243,Sports,0.2131
CUST_00055,"Beauty, Food",Sports,0.2324,Toys,0.2176,Books,0.211
CUST_00056,"Beauty, Electronics, Home & Garden, Sports",Toys,0.2261,Food,0.2184,Fashion,0.2127
CUST_00057,"Beauty, Books, Sports",Food,0.2285,Fashion,0.2208,Electronics,0.2172
CUST_00058,"Beauty, Fashion, Sports, Toys",Food,0.2279,Electronics,0.2189,Home & Garden,0.2173
CUST_00059,"Books, Fashion, Sports",Food,0.2255,Toys,0.2175,Electronics,0.2123
CUST_00060,Toys,Home & Garden,0.2363,Electronics,0.2355,Food,0.2246
CUST_00061,"Beauty, Fashion",Sports,0.2265,Food,0.2203,Books,0.2156
CUST_00062,"Beauty, Electronics, Fashion",Sports,0.2253,Toys,0.2205,Home & Garden,0.2147
CUST_00063,"Beauty, Fashion",Sports,0.2265,Food,0.2203,Books,0.2156
CUST_00064,Sports,Food,0.2463,Fashion,0.2344,Electronics,0.2229
CUST_00065,Electronics,Toys,0.2355,Home & Garden,0.2243,Sports,0.2229
CUST_00066,Home & Garden,Toys,0.2363,Electronics,0.2243,Sports,0.2131
CUST_00067,"Books, Fashion, Food",Sports,0.2288,Toys,0.2183,Beauty,0.2123
CUST_00068,Books,Fashion,0.2236,Toys,0.2152,Food,0.2144
CUST_00069,"Electronics, Fashion",Sports,0.2287,Toys,0.2254,Books,0.2182
CUST_00070,"Books, Fashion, Toys",Sports,0.2207,Food,0.2183,Electronics,0.2165
CUST_00071,"Books, Sports",Food,0.2304,Fashion,0.229,Toys,0.2186
CUST_00072,"Beauty, Books, Fashion, Food, Home & Garden, Sports",Toys,0.2207,Electronics,0.2129,,0.0
CUST_00073,Beauty,Food,0.2249,Sports,0.2185,Electronics,0.2159
CUST_00074,"Beauty, Electronics, Home & Garden, Sports, Toys",Food,0.2196,Fashion,0.2132,Books,0.2085
CUST_00075,"Electronics, Fashion, Toys",Sports,0.2264,Home & Garden,0.2239,Books,0.2172
CUST_00076,"Books, Electronics, Food, Home & Garden, Sports",Toys,0.2267,Fashion,0.2172,Beauty,0.2151
CUST_00077,"Books, Electronics, Food, Sports",Toys,0.2243,Fashion,0.2187,Beauty,0.2167
CUST_00078,"Books, Home & Garden, Toys",Electronics,0.2242,Fashion,0.2166,Sports,0.2136
CUST_00079,"Fashion, Sports, Toys",Food,0.2289,Home & Garden,0.2201,Electronics,0.2199
CUST_00080,"Books, Food, Toys",Sports,0.2246,Fashion,0.2182,Electronics,0.2163
CUST_00081,Electronics,Toys,0.2355,Home & Garden,0.2243,Sports,0.2229
CUST_00082,"Beauty, Books, Home & Garden",Toys,0.2207,Electronics,0.2176,Food,0.2137
CUST_00083,Beauty,Food,0.2249,Sports,0.2185,Electronics,0.2159
CUST_00084,"Books, Electronics, Food, Sports",Toys,0.2243,Fashion,0.2187,Beauty,0.2167
CUST_00085,"Fashion, Food",Sports,0.2403,Toys,0.2199,Books,0.219
CUST_00086,"Books, Electronics",Toys,0.2253,Sports,0.2143,Home & Garden,0.2128
CUST_00087,"Beauty, Books, Toys",Electronics,0.2214,Food,0.2213,Home & Garden,0.2154
CUST_00088,"Books, Fashion, Sports, Toys",Food,0.2253,Electronics,0.2181,Home & Garden,0.2154
CUST_00089,"Beauty, Electronics, Food, Home & Garden",Toys,0.2268,Sports,0.2252,Books,0.209
CUST_00090,"Books, Food, Home & Garden",Toys,0.2254,Sports,0.2217,Fashion,0.2168
CUST_00091,"Beauty, Books, Food, Sports",Fashion,0.2195,Toys,0.2181,Electronics,0.213
CUST_00092,"Beauty, Books, Electronics, Fashion, Food, Sports, Toys",Home & Garden,0.2138,,0.0,,0.0
CUST_00093,"Books, Electronics",Toys,0.2253,Sports,0.2143,Home & Garden,0.2128
CUST_00094,Food,Sports,0.2463,Beauty,0.2249,Toys,0.2246
CUST_00095,"Fashion, Toys",Sports,0.2282,Home & Garden,0.2236,Food,0.2202
CUST_00096,"Books, Food",Sports,0.2259,Toys,0.2199,Fashion,0.2197
CUST_00097,Fashion,Sports,0.2344,Books,0.2236,Food,0.2157
CUST_00098,"Electronics, Food",Sports,0.2346,Toys,0.2301,Beauty,0.2204
CUST_00099,"Books, Electronics, Food",Toys,0.2251,Sports,0.2249,Beauty,0.2161
CUST_00100,Sports,Food,0.2463,Fashion,0.2344,Electronics,0.2229
CUST_00101,"Electronics, Food, Sports, Toys",Home & Garden,0.2188,Beauty,0.2175,Fashion,0.2166
CUST_00102,"Fashion, Sports",Food,0.231,Toys,0.2186,Books,0.2146
CUST_00103,"Books, Fashion, Sports, Toys",Food,0.2253,Electronics,0.2181,Home & Garden,0.2154
CUST_00104,"Books, Electronics, Fashion, Toys",Sports,0.2212,Home & Garden,0.2182,Food,0.2139
CUST_00105,"Food, Home & Garden",Toys,0.2305,Sports,0.2297,Beauty,0.2168
CUST_00106,"Electronics, Food, Toys",Sports,0.2304,Home & Garden,0.2207,Beauty,0.2171
CUST_00107,"Food, Home & Garden, Toys",Sports,0.2271,Electronics,0.2201,Beauty,0.2148
CUST_00108,"Electronics, Fashion",Sports,0.2287,Toys,0.2254,Books,0.2182
CUST_00109,"Food, Home & Garden, Toys",Sports,0.2271,Electronics,0.2201,Beauty,0.2148
CUST_00110,"Fashion, Food",Sports,0.2403,Toys,0.2199,Books,0.219
CUST_00111,"Beauty, Home & Garden, Sports",Food,0.2243,Toys,0.223,Electronics,0.221
CUST_00112,"Beauty, Food, Sports, Toys",Electronics,0.2187,Fashion,0.2174,Home & Garden,0.2149
CUST_00113,"Beauty, Books, Electronics",Toys,0.2205,Sports,0.2157,Food,0.2133
CUST_00114,Beauty,Food,0.2249,Sports,0.2185,Electronics,0.2159
CUST_00115,"Beauty, Books, Home & Garden, Sports, Toys",Food,0.2224,Electronics,0.2223,Fashion,0.2177
CUST_00116,"Books, Toys",Electronics,0.2242,Food,0.2195,Fashion,0.2194
CUST_00117,"Fashion, Sports",Food,0.231,Toys,0.2186,Books,0.2146
CUST_00118,"Beauty, Food",Sports,0.2324,Toys,0.2176,Books,0.211
CUST_00119,"Food, Sports",Fashion,0.2251,Toys,0.2233,Beauty,0.2217
CUST_00120,"Books, Fashion",Sports,0.22,Toys,0.2152,Food,0.2151
CUST_00121,"Beauty, Toys",Electronics,0.2257,Food,0.2248,Home & Garden,0.2225
CUST_00122,"Electronics, Sports",Toys,0.2288,Food,0.2234,Home & Garden,0.2187
CUST_00123,Toys,Home & Garden,0.2363,Electronics,0.2355,Food,0.2246
CUST_00124,"Fashion, Food, Toys",Sports,0.2342,Books,0.2177,Home & Garden,0.2163
CUST_00125,"Books, Food, Home & Garden, Toys",Sports,0.2217,Electronics,0.2183,Fashion,0.2164
CUST_00126,"Electronics, Toys",Home & Garden,0.2303,Sports,0.2225,Books,0.214
CUST_00127,"Electronics, Toys",Home & Garden,0.2303,Sports,0.2225,Books,0.214
CUST_00128,"Beauty, Fashion, Home & Garden",Sports,0.222,Toys,0.2207,Food,0.2141
CUST_00129,"Beauty, Home & Garden, Toys",Electronics,0.2252,Sports,0.2179,Food,0.2171
CUST_00130,"Books, Electronics, Fashion, Food, Toys",Sports,0.2262,Home & Garden,0.2149,Beauty,0.2127
CUST_00131,"Beauty, Books, Toys",Electronics,0.2214,Food,0.2213,Home & Garden,0.2154
CUST_00132,Toys,Home & Garden,0.2363,Electronics,0.2355,Food,0.2246
CUST_00133,"Beauty, Books, Electronics",Toys,0.2205,Sports,0.2157,Food,0.2133
CUST_00134,"Books, Food",Sports,0.2259,Toys,0.2199,Fashion,0.2197
CUST_00135,"Beauty, Books, Fashion, Food",Sports,0.2262,Toys,0.2164,Electronics,0.2076
CUST_00136,"Books, Electronics, Fashion, Home & Garden, Sports",Toys,0.2248,Food,0.2157,Beauty,0.211
CUST_00137,"Books, Electronics, Fashion, Home & Garden",Toys,0.2255,Sports,0.219,Beauty,0.2091
CUST_00138,"Electronics, Toys",Home & Garden,0.2303,Sports,0.2225,Books,0.214
CUST_00139,"Food, Home & Garden, Toys",Sports,0.2271,Electronics,0.2201,Beauty,0.2148
CUST_00140,"Beauty, Electronics, Sports",Food,0.2239,Toys,0.2227,Home & Garden,0.2154
CUST_00141,"Books, Food",Sports,0.2259,Toys,0.2199,Fashion,0.2197
CUST_00142,"Beauty, Books, Electronics, Fashion, Home & Garden",Toys,0.2226,Sports,0.2189,Food,0.2115
CUST_00143,"Beauty, Electronics, Toys",Home & Garden,0.2231,Sports,0.2211,Food,0.2167
CUST_00144,Electronics,Toys,0.2355,Home & Garden,0.2243,Sports,0.2229
CUST_00145,"Books, Fashion, Home & Garden, Sports, Toys",Food,0.2205,Electronics,0.2193,Beauty,0.21
CUST_00146,"Electronics, Fashion, Food",Sports,0.2345,Toys,0.2251,Books,0.2169
CUST_00147,"Fashion, Food, Sports",Toys,0.2206,Beauty,0.2159,Books,0.2145
CUST_00148,"Sports, Toys",Food,0.2355,Electronics,0.2292,Fashion,0.2248
CUST_00149,"Home & Garden, Sports",Toys,0.2291,Food,0.224,Electronics,0.2236
CUST_00150,"Electronics, Food",Sports,0.2346,Toys,0.2301,Beauty,0.2204
CUST_00151,"Electronics, Food, Toys",Sports,0.2304,Home & Garden,0.2207,Beauty,0.2171
CUST_00152,"Books, Electronics, Food, Toys",Sports,0.2242,Home & Garden,0.2159,Beauty,0.2147
CUST_00153,"Fashion, Food, Sports, Toys",Home & Garden,0.2155,Electronics,0.2151,Books,0.2147
CUST_00154,"Books, Electronics, Fashion, Food, Home & Garden",Toys,0.2254,Sports,0.2245,Beauty,0.2123
CUST_00155,"Beauty, Electronics, Fashion, Toys",Sports,0.2245,Home & Garden,0.2201,Food,0.2165
CUST_00156,"Home & Garden, Toys",Electronics,0.2299,Sports,0.2176,Food,0.2131
CUST_00157,"Books, Fashion, Sports",Food,0.2255,Toys,0.2175,Electronics,0.2123
CUST_00158,"Books, Electronics, Fashion, Home & Garden, Toys",Sports,0.2196,Food,0.2114,Beauty,0.2094
CUST_00159,Electronics,Toys,0.2355,Home & Garden,0.2243,Sports,0.2229
CUST_00160,Electronics,Toys,0.2355,Home & Garden,0.2243,Sports,0.2229
CUST_00161,"Beauty, Books, Fashion",Sports,0.2195,Food,0.2184,Toys,0.2137
CUST_00162,Fashion,Sports,0.2344,Books,0.2236,Food,0.2157
CUST_00163,"Food, Sports",Fashion,0.2251,Toys,0.2233,Beauty,0.2217
CUST_00164,"Books, Toys",Electronics,0.2242,Food,0.2195,Fashion,0.2194
CUST_00165,"Electronics, Sports",Toys,0.2288,Food,0.2234,Home & Garden,0.2187
CUST_00166,"Books, Sports",Food,0.2304,Fashion,0.229,Toys,0.2186
CUST_00167,"Beauty, Books, Electronics, Fashion, Food, Home & Garden",Sports,0.2235,Toys,0.2229,,0.0
CUST_00168,"Books, Electronics, Fashion, Home & Garden",Toys,0.2255,Sports,0.219,Beauty,0.2091
CUST_00169,"Fashion, Food",Sports,0.2403,Toys,0.2199,Books,0.219
CUST_00170,"Food, Home & Garden",Toys,0.2305,Sports,0.2297,Beauty,0.2168
CUST_00171,"Food, Toys",Sports,0.2341,Home & Garden,0.219,Electronics,0.2181
CUST_00172,"Beauty, Food, Toys",Sports,0.2289,Electronics,0.2173,Home & Garden,0.2155
CUST_00173,"Beauty, Food",Sports,0.2324,Toys,0.2176,Books,0.211
CUST_00174,"Books, Electronics, Home & Garden",Toys,0.229,Sports,0.2139,Fashion,0.2119
CUST_00175,"Electronics, Fashion, Sports",Toys,0.2242,Food,0.2209,Home & Garden,0.2161
CUST_00176,Fashion,Sports,0.2344,Books,0.2236,Food,0.2157
CUST_00177,"Books, Toys",Electronics,0.2242,Food,0.2195,Fashion,0.2194
CUST_00178,"Electronics, Food, Home & Garden, Sports",Toys,0.2296,Beauty,0.217,Fashion,0.2156
CUST_00179,Books,Fashion,0.2236,Toys,0.2152,Food,0.2144
CUST_00180,"Food, Sports, Toys",Fashion,0.2218,Electronics,0.2197,Beauty,0.218
CUST_00181,"Beauty, Food, Sports, Toys",Electronics,0.2187,Fashion,0.2174,Home & Garden,0.2149
CUST_00182,"Beauty, Books, Home & Garden",Toys,0.2207,Electronics,0.2176,Food,0.2137
CUST_00183,"Books, Electronics, Fashion, Food, Toys",Sports,0.2262,Home & Garden,0.2149,Beauty,0.2127
CUST_00184,"Books, Toys",Electronics,0.2242,Food,0.2195,Fashion,0.2194
CUST_00185,Home & Garden,Toys,0.2363,Electronics,0.2243,Sports,0.2131
CUST_00186,"Beauty, Food, Sports",Toys,0.2191,Fashion,0.2182,Electronics,0.2131
CUST_00187,"Home & Garden, Toys",Electronics,0.2299,Sports,0.2176,Food,0.2131
CUST_00188,Books,Fashion,0.2236,Toys,0.2152,Food,0.2144
CUST_00189,"Books, Electronics, Fashion, Home & Garden, Sports, Toys",Food,0.2172,Beauty,0.2109,,0.0
CUST_00190,"Beauty, Electronics, Sports",Food,0.2239,Toys,0.2227,Home & Garden,0.2154
CUST_00191,"Electronics, Home & Garden",Toys,0.2359,Sports,0.218,Beauty,0.2123
CUST_00192,Food,Sports,0.2463,Beauty,0.2249,Toys,0.2246
CUST_00193,"Fashion, Home & Garden",Toys,0.2257,Sports,0.2238,Electronics,0.2127
CUST_00194,"Books, Sports",Food,0.2304,Fashion,0.229,Toys,0.2186
CUST_00195,"Food, Home & Garden, Toys",Sports,0.2271,Electronics,0.2201,Beauty,0.2148
CUST_00196,"Beauty, Electronics, Sports",Food,0.2239,Toys,0.2227,Home & Garden,0.2154
CUST_00197,"Books, Electronics, Fashion, Food, Sports, Toys",Home & Garden,0.2146,Beauty,0.2136,,0.0
CUST_00198,"Electronics, Fashion, Sports",Toys,0.2242,Food,0.2209,Home & Garden,0.2161
CUST_00199,"Beauty, Electronics, Food, Toys",Sports,0.2274,Home & Garden,0.2177,Books,0.2125
CUST_00200,"Books, Electronics, Food, Toys",Sports,0.2242,Home & Garden,0.2159,Beauty,0.2147
CUST_00201,Beauty,Food,0.2249,Sports,0.2185,Electronics,0.2159
CUST_00202,Food,Sports,0.2463,Beauty,0.2249,Toys,0.2246
CUST_00203,"Books, Food, Toys",Sports,0.2246,Fashion,0.2182,Electronics,0.2163
CUST_00204,"Beauty, Home & Garden, Sports",Food,0.2243,Toys,0.223,Electronics,0.221
CUST_00205,"Beauty, Books, Fashion, Food, Home & Garden, Sports",Toys,0.2207,Electronics,0.2129,,0.0
CUST_00206,"Electronics, Toys",Home & Garden,0.2303,Sports,0.2225,Books,0.214
CUST_00207,"Books, Fashion",Sports,0.22,Toys,0.2152,Food,0.2151
CUST_00208,Home & Garden,Toys,0.2363,Electronics,0.2243,Sports,0.2131
CUST_00209,"Beauty, Electronics, Sports",Food,0.2239,Toys,0.2227,Home & Garden,0.2154
CUST_00210,"Beauty, Electronics, Food",Sports,0.2292,Toys,0.2236,Books,0.2116
CUST_00211,"Beauty, Books, Food",Sports,0.2235,Toys,0.2168,Fashion,0.2145
CUST_00212,"Electronics, Fashion, Food, Toys",Sports,0.2314,Home & Garden,0.2183,Books,0.2165
CUST_00213,"Food, Sports",Fashion,0.2251,Toys,0.2233,Beauty,0.2217
CUST_00214,"Beauty, Books, Sports",Food,0.2285,Fashion,0.2208,Electronics,0.2172
CUST_00215,"Home & Garden, Sports",Toys,0.2291,Food,0.224,Electronics,0.2236
CUST_00216,"Books, Fashion, Food, Home & Garden",Sports,0.2249,Toys,0.2228,Beauty,0.2114
CUST_00217,Books,Fashion,0.2236,Toys,0.2152,Food,0.2144
CUST_00218,"Books, Home & Garden, Toys",Electronics,0.2242,Fashion,0.2166,Sports,0.2136
CUST_00219,"Fashion, Toys",Sports,0.2282,Home & Garden,0.2236,Food,0.2202
CUST_00220,"Fashion, Home & Garden, Toys",Sports,0.2232,Electronics,0.2203,Food,0.214
CUST_00221,"Books, Sports",Food,0.2304,Fashion,0.229,Toys,0.2186
CUST_00222,"Beauty, Books, Toys",Electronics,0.2214,Food,0.2213,Home & Garden,0.2154
CUST_00223,"Beauty, Electronics",Toys,0.2231,Sports,0.2207,Home & Garden,0.2165
CUST_00224,"Fashion, Sports",Food,0.231,Toys,0.2186,Books,0.2146
CUST_00225,"Electronics, Fashion, Sports",Toys,0.2242,Food,0.2209,Home & Garden,0.2161
CUST_00226,Beauty,Food,0.2249,Sports,0.2185,Electronics,0.2159
CUST_00227,Food,Sports,0.2463,Beauty,0.2249,Toys,0.2246
CUST_00228,"Fashion, Toys",Sports,0.2282,Home & Garden,0.2236,Food,0.2202
CUST_00229,"Books, Home & Garden, Sports",Toys,0.2245,Fashion,0.223,Food,0.2208
CUST_00230,"Books, Food",Sports,0.2259,Toys,0.2199,Fashion,0.2197
CUST_00231,"Beauty, Sports",Food,0.2356,Electronics,0.2194,Fashion,0.2194
CUST_00232,Beauty,Food,0.2249,Sports,0.2185,Electronics,0.2159
CUST_00233,Food,Sports,0.2463,Beauty,0.2249,Toys,0.2246
CUST_00234,"Books, Fashion, Sports",Food,0.2255,Toys,0.2175,Electronics,0.2123
CUST_00235,Sports,Food,0.2463,Fashion,0.2344,Electronics,0.2229
CUST_00236,"Electronics, Toys",Home & Garden,0.2303,Sports,0.2225,Books,0.214
CUST_00237,"Beauty, Books, Food",Sports,0.2235,Toys,0.2168,Fashion,0.2145
CUST_00238,"Electronics, Food, Home & Garden, Sports, Toys",Beauty,0.2157,Fashion,0.2155,Books,0.2099
CUST_00239,"Books, Electronics, Toys",Home & Garden,0.2206,Sports,0.2168,Fashion,0.2133
CUST_00240,Sports,Food,0.2463,Fashion,0.2344,Electronics,0.2229
CUST_00241,"Beauty, Books, Electronics, Fashion, Food, Home & Garden, Sports, Toys",,0.0,,0.0,,0.0
CUST_00242,"Electronics, Food, Home & Garden, Sports, Toys",Beauty,0.2157,Fashion,0.2155,Books,0.2099
CUST_00243,"Food, Sports",Fashion,0.2251,Toys,0.2233,Beauty,0.2217
CUST_00244,"Home & Garden, Toys",Electronics,0.2299,Sports,0.2176,Food,0.2131
CUST_00245,"Beauty, Books, Electronics, Home & Garden",Toys,0.2244,Sports,0.215,Food,0.2104
CUST_00246,"Beauty, Sports",Food,0.2356,Electronics,0.2194,Fashion,0.2194
CUST_00247,"Beauty, Electronics, Fashion, Food, Sports",Toys,0.2216,Books,0.2128,Home & Garden,0.2118
CUST_00248,"Books, Electronics, Toys",Home & Garden,0.2206,Sports,0.2168,Fashion,0.2133
CUST_00249,"Home & Garden, Sports, Toys",Electronics,0.2276,Food,0.2242,Fashion,0.2202
CUST_00250,Electronics,Toys,0.2355,Home & Garden,0.2243,Sports,0.2229
CUST_00251,"Fashion, Toys",Sports,0.2282,Home & Garden,0.2236,Food,0.2202
CUST_00252,"Books, Fashion, Food, Home & Garden, Sports",Toys,0.2227,Beauty,0.2128,Electronics,0.2124
CUST_00253,"Books, Home & Garden, Sports",Toys,0.2245,Fashion,0.223,Food,0.2208
CUST_00254,Food,Sports,0.2463,Beauty,0.2249,Toys,0.2246
CUST_00255,"Food, Toys",Sports,0.2341,Home & Garden,0.219,Electronics,0.2181
CUST_00256,"Electronics, Food, Home & Garden, Sports, Toys",Beauty,0.2157,Fashion,0.2155,Books,0.2099
CUST_00257,"Beauty, Food",Sports,0.2324,Toys,0.2176,Books,0.211
CUST_00258,"Beauty, Electronics, Fashion",Sports,0.2253,Toys,0.2205,Home & Garden,0.2147
CUST_00259,Sports,Food,0.2463,Fashion,0.2344,Electronics,0.2229
CUST_00260,Books,Fashion,0.2236,Toys,0.2152,Food,0.2144
CUST_00261,"Beauty, Books, Fashion, Sports",Food,0.2253,Toys,0.2158,Electronics,0.2132
CUST_00262,Food,Sports,0.2463,Beauty,0.2249,Toys,0.2246
CUST_00263,"Books, Electronics, Food",Toys,0.2251,Sports,0.2249,Beauty,0.2161
CUST_00264,"Books, Toys",Electronics,0.2242,Food,0.2195,Fashion,0.2194
CUST_00265,"Books, Fashion, Food, Toys",Sports,0.2271,Home & Garden,0.2125,Electronics,0.2125
CUST_00266,"Books, Home & Garden, Toys",Electronics,0.2242,Fashion,0.2166,Sports,0.2136
CUST_00267,Home & Garden,Toys,0.2363,Electronics,0.2243,Sports,0.2131
CUST_00268,"Beauty, Home & Garden, Toys",Electronics,0.2252,Sports,0.2179,Food,0.2171
CUST_00269,Home & Garden,Toys,0.2363,Electronics,0.2243,Sports,0.2131
CUST_00270,Beauty,Food,0.2249,Sports,0.2185,Electronics,0.2159
CUST_00271,"Books, Fashion",Sports,0.22,Toys,0.2152,Food,0.2151
CUST_00272,"Books, Food, Sports",Fashion,0.2246,Toys,0.2206,Beauty,0.217
CUST_00273,Electronics,Toys,0.2355,Home & Garden,0.2243,Sports,0.2229
CUST_00274,"Books, Food",Sports,0.2259,Toys,0.2199,Fashion,0.2197
CUST_00275,Sports,Food,0.2463,Fashion,0.2344,Electronics,0.2229
CUST_00276,"Fashion, Food, Home & Garden",Sports,0.2313,Toys,0.2254,Books,0.2131
CUST_00277,Books,Fashion,0.2236,Toys,0.2152,Food,0.2144
CUST_00278,Books,Fashion,0.2236,Toys,0.2152,Food,0.2144
CUST_00279,"Beauty, Books, Electronics, Fashion, Food, Sports, Toys",Home & Garden,0.2138,,0.0,,0.0
CUST_00280,Fashion,Sports,0.2344,Books,0.2236,Food,0.2157
CUST_00281,"Beauty, Electronics, Home & Garden, Sports",Toys,0.2261,Food,0.2184,Fashion,0.2127
CUST_00282,Food,Sports,0.2463,Beauty,0.2249,Toys,0.2246
CUST_00283,Beauty,Food,0.2249,Sports,0.2185,Electronics,0.2159
CUST_00284,Electronics,Toys,0.2355,Home & Garden,0.2243,Sports,0.2229
CUST_00285,Books,Fashion,0.2236,Toys,0.2152,Food,0.2144
CUST_00286,"Beauty, Books, Fashion, Food, Sports",Toys,0.2175,Electronics,0.2107,Home & Garden,0.2071
CUST_00287,"Books, Electronics, Fashion",Toys,0.222,Sports,0.221,Home & Garden,0.2122
CUST_00288,"Beauty, Food, Home & Garden, Sports, Toys",Electronics,0.2198,Fashion,0.2161,Books,0.2088
CUST_00289,"Books, Electronics, Food, Home & Garden, Sports",Toys,0.2267,Fashion,0.2172,Beauty,0.2151
CUST_00290,Sports,Food,0.2463,Fashion,0.2344,Electronics,0.2229
CUST_00291,"Beauty, Books, Fashion",Sports,0.2195,Food,0.2184,Toys,0.2137
CUST_00292,"Beauty, Books, Electronics, Fashion, Home & Garden, Toys",Sports,0.2194,Food,0.2137,,0.0
CUST_00293,"Beauty, Fashion, Home & Garden",Sports,0.222,Toys,0.2207,Food,0.2141
CUST_00294,"Beauty, Books, Sports",Food,0.2285,Fashion,0.2208,Electronics,0.2172
CUST_00295,"Beauty, Books, Sports",Food,0.2285,Fashion,0.2208,Electronics,0.2172
CUST_00296,"Electronics, Fashion",Sports,0.2287,Toys,0.2254,Books,0.2182
